q1_deg,q2_deg,recovered,settling_time,total_control_effort,peak_angle_error,peak_cart_displacement
-12.000000000000002,-12.000000000000002,False,nan,8821.416510756053,98.6711857863716,2.037684718977158
-12.000000000000002,-11.0,False,nan,8823.511229194035,59.501822818081486,2.0461814612081586
-12.000000000000002,-10.0,False,nan,8735.69857503287,108.81002606343574,2.0327627030513775
-12.000000000000002,-9.0,False,nan,8798.132936957947,89.6138810892247,2.039227993281239
-12.000000000000002,-8.0,False,nan,8778.70942736445,65.46318218915567,2.056192917610689
-12.000000000000002,-7.0,True,3.11,327.73222139949837,0.4078631696489779,1.4680465670629532
-12.000000000000002,-6.000000000000001,True,3.255,241.3892168929252,0.3814114025910481,1.5327204570837147
-12.000000000000002,-5.0,True,3.23,197.6562274265693,0.35660341653414956,1.467540541932752
-12.000000000000002,-4.0,True,3.19,160.270783570795,0.33234601467921354,1.395664721958743
-12.000000000000002,-3.0000000000000004,True,3.14,127.96062527934393,0.30874713397717674,1.3186874614054824
-12.000000000000002,-2.0,True,3.0700000000000003,100.28622372710689,0.28526894848465617,1.2335596473542805
-12.000000000000002,-1.0,True,2.98,77.06063391951974,0.262392939559898,1.1407813563142886
-12.000000000000002,0.0,True,2.9250000000000003,58.181909380778606,0.2409953104104185,1.0411020531888682
-12.000000000000002,1.0,True,2.85,43.61838942377353,0.22277158760561602,0.9353953035030875
-12.000000000000002,2.0,True,2.75,33.39191503358872,0.21121822793317982,0.8247425045790269
-12.000000000000002,3.0000000000000004,True,2.61,27.56313532019555,0.20943951023931956,0.7105330351109914
-12.000000000000002,4.0,True,2.42,26.219032409901388,0.20943951023931956,0.5947632488158504
-12.000000000000002,5.0,True,2.145,29.46281717543573,0.20943951023931956,0.4809483092524623
-12.000000000000002,6.000000000000001,True,1.885,37.40640385927505,0.20943951023931956,0.3773767488752568
-12.000000000000002,7.0,True,1.7850000000000001,50.22204223426695,0.20943951023931956,0.3031733806825019
-12.000000000000002,8.0,True,2.035,69.23837831150574,0.20943951023931956,0.26919085471665094
-12.000000000000002,9.0,True,2.095,96.2488181868892,0.20943951023931956,0.26400296699480363
-12.000000000000002,10.0,True,2.475,133.518444076943,0.20943951023931956,0.3065950120024719
-12.000000000000002,11.0,True,2.855,184.61601875955387,0.22294213588714618,0.4718643274988144
-12.000000000000002,12.000000000000002,True,2.97,256.1619082061602,0.28200730291770065,0.6262941179057225
-11.0,-12.000000000000002,False,nan,8828.509256978505,79.39017792444768,2.0600888960790718
-11.0,-11.0,False,nan,8800.408419251215,27.47620579770829,2.039576854061862
-11.0,-10.0,False,nan,8757.325807890486,58.82434249313608,2.0488935453283834
-11.0,-9.0,False,nan,8761.736421655069,108.80132047467924,2.0543130397543945
-11.0,-8.0,True,2.665,463.07315771817855,0.41807372481062227,1.2970405661817357
-11.0,-7.0,True,3.24,269.66898062473297,0.3887524762346217,1.5184488013792494
-11.0,-6.000000000000001,True,3.235,218.10201440383173,0.3628360551039329,1.4719539513345148
-11.0,-5.0,True,3.2,177.53416675921602,0.33767639385423953,1.40172433580122
-11.0,-4.0,True,3.15,142.7360993432985,0.3132184209065719,1.3257891318482735
-11.0,-3.0000000000000004,True,3.09,112.64000945139146,0.28929223135470594,1.244925158091531
